MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
41750,Koukaku Kidoutai: SAC_2045 2nd Season,Unknown,"Action, Mecha, Military, Police, Sci-Fi, Seinen",Unknown,¾ÓÈ¾¨È¾©ÙŒÜ¥__ SAC_2045 2nd‹âá‹Ä_‹â¼‹Ä_,ONA,12,Unknown,Unknown,Unknown,Unknown,Unknown,Manga,Unknown,R - 17+ (violence & profanity),0,0,1,4,0,0,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
48427,"The Sun, Moon and Stars",Unknown,Music,Unknown,Unknown,Music,1,18-Jan-21,Unknown,Unknown,Unknown,Unknown,Other,3 min.,Unknown,0,0,1,0,0,0,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5114,Fullmetal Alchemist: Brotherhood,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",Fullmetal Alchemist:Brotherhood,Ü_‹¨ÎÂàÔÁÒŒüÇ FULLMETAL ALCHEMIST,TV,64,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity),1,3,2248456,183914,171871,1644938,75728,32456,323463,714811,401507,199160,70045,20210,9308,3222,1536,2162,16806
40028,Shingeki no Kyojin: The Final Season,9.17,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",Attack on Titan Final Season,Û_¾ÕÄ‹¨Œá¬Š¼¼ The Final Season,TV,16,"Dec 7, 2020 to ?",Winter 2021,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,23 min. per ep.,R - 17+ (violence & profanity),2,119,733260,44862,566239,553,6658,2090,157720,173154,63756,26016,8793,2674,1336,588,382,514,11061
9253,Steins;Gate,9.11,"Thriller, Sci-Fi",Steins;Gate,STEINS;GATE,TV,24,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,3,9,1771162,148452,114349,1134756,60926,35600,425531,468504,275960,140914,57740,21375,11126,5061,2292,1678,5255
38524,Shingeki no Kyojin Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",Attack on Titan Season 3 Part 2,Û_¾ÕÄ‹¨Œá¬Š¼¼ Season3 Part.2,TV,10,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity),4,63,1073626,40985,54607,906824,5533,3099,103563,327290,239451,110481,33662,8365,2974,1108,550,385,4169
28977,Gintamaå¡,9.1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama Season 4,_Û_âå¡,TV,51,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5,329,404121,11868,48011,167130,16612,11472,160896,78918,37902,21360,10215,3898,2311,952,648,1100,4508
11061,Hunter x Hunter (2011),9.1,"Action, Adventure, Fantasy, Shounen, Super Power",Hunter x Hunter,HUNTERÌÑHUNTER•_ö‹Ä‹Ä_‹âÀ‹Ä_ÌÑ‹Ä‹Ä_‹âÀ‹Ä_•_ä,TV,148,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6,12,1673924,147274,227277,1094486,79587,31652,240922,454000,304741,167331,65085,18241,7789,2780,1243,1054,4602
820,Ginga Eiyuu Densetsu,9.07,"Military, Sci-Fi, Space, Drama",Legend of the Galactic Heroes,_Û¾__Ü±İãŠ_»Â,OVA,110,"Jan 8, 1988 to Mar 17, 1997",Unknown,"Kitty Films, K-Factory",Sentai Filmworks,"Artland, Magic Bus",Novel,26 min. per ep.,R - 17+ (violence & profanity),7,633,230168,13834,25968,52583,14911,5950,130756,30432,11497,7096,3577,1570,965,480,264,509,2265
9969,Gintama',9.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Gintama Season 2,_Û_â',TV,51,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Unknown,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,7,362,365579,6567,26492,190008,10615,7084,131380,74992,44740,24294,9584,3222,1655,694,338,437,2910
